first_name,last_name,email,team_name
Beige,Ranger,immersion+beige@pagerduty.com,Beige Team
Black,Ranger,immersion+black@pagerduty.com,Black Team
Blue,Ranger,immersion+blue@pagerduty.com,Blue Team
Brown,Ranger,immersion+brown@pagerduty.com,Brown Team
Coral,Ranger,immersion+coral@pagerduty.com,Coral Team
Cyan,Ranger,immersion+cyan@pagerduty.com,Cyan Team
Diamond,Ranger,immersion+diamond@pagerduty.com,Diamond Team
Emerald,Ranger,immersion+emerald@pagerduty.com,Emerald Team
Gold,Ranger,immersion+gold@pagerduty.com,Gold Team
Green,Ranger,immersion+green@pagerduty.com,Green Team
Grey,Ranger,immersion+grey@pagerduty.com,Grey Team
Indigo,Ranger,immersion+indigo@pagerduty.com,Indigo Team
Lavender,Ranger,immersion+lavender@pagerduty.com,Lavender Team
Lime,Ranger,immersion+lime@pagerduty.com,Lime Team
Magenta,Ranger,immersion+magenta@pagerduty.com,Magenta Team
Maroon,Ranger,immersion+maroon@pagerduty.com,Maroon Team
Mint,Ranger,immersion+mint@pagerduty.com,Mint Team
Mustard,Ranger,immersion+mustard@pagerduty.com,Mustard Team
Navy,Ranger,immersion+navy@pagerduty.com,Navy Team
Olive,Ranger,immersion+olive@pagerduty.com,Olive Team
Orange,Ranger,immersion+orange@pagerduty.com,Orange Team
Peach,Ranger,immersion+peach@pagerduty.com,Peach Team
Pink,Ranger,immersion+pink@pagerduty.com,Pink Team
Purple,Ranger,immersion+purple@pagerduty.com,Purple Team
Red,Ranger,immersion+red@pagerduty.com,Red Team
Ruby,Ranger,immersion+ruby@pagerduty.com,Ruby Team
Salmon,Ranger,immersion+salmon@pagerduty.com,Salmon Team
Scarlet,Ranger,immersion+scarlet@pagerduty.com,Scarlet Team
Silver,Ranger,immersion+silver@pagerduty.com,Silver Team
Teal,Ranger,immersion+teal@pagerduty.com,Teal Team
Topaz,Ranger,immersion+topaz@pagerduty.com,Topaz Team
Turquoise,Ranger,immersion+turquoise@pagerduty.com,Turquoise Team
Violet,Ranger,immersion+violet@pagerduty.com,Violet Team
White,Ranger,immersion+white@pagerduty.com,White Team
Yellow,Ranger,immersion+yellow@pagerduty.com,Yellow Team
